text,label,language,confidence_score
"animal bite reported at Kebele 02, send medical help",Medical/Hospital,english,0.94
Police assistance required for riot at the Main Factory,Police,english,0.9
"Person experiencing poisoning at Sarbet, need ambulance",Medical/Hospital,english,0.9
Crime alert: harassment at the Bank,Police,english,0.89
Smoke reported: apartment fire at the Church,Fire Force,english,0.93
Medical emergency: overdose reported at the Church,Medical/Hospital,english,0.89
"Critical: broken leg at Train Station, need doctor",Medical/Hospital,english,0.88
Police needed immediately for riot at Main Road,Police,english,0.9
"No emergency, just information request",Other,english,0.98
Medical emergency: fainting spell reported at an Apartment building,Medical/Hospital,afaan_oromo,0.83
Police needed immediately for burglary at a local house,Police,english,0.86
Medical emergency: heat stroke reported at the Police Station,Medical/Hospital,english,0.95
Fire alarm: balcony fire at a local house,Fire Force,afaan_oromo,0.81
"Critical: structure fire at the Restaurant, multiple units needed",Fire Force,amharic,0.91
Need doctor for poisoning at the Restaurant immediately,Medical/Hospital,english,0.94
"URGENT: pickpocketing reported at a villa, send officers",Police,english,0.92
Call firefighters: vehicle fire at Atlas area,Fire Force,english,0.9
Hazardous situation: hazmat incident at the University campus,Fire Force,english,0.93
Someone is having animal bite at Train Station,Medical/Hospital,english,0.85
Police assistance required for fight at Adama Market,Police,english,0.87
Emergency medical assistance needed for allergic reaction at the Main Factory,Medical/Hospital,afaan_oromo,0.8
"Patient with drowning incident at Kebele 06, requires hospital transport",Medical/Hospital,english,0.91
"Critical: gas leak at the Bank, multiple units needed",Fire Force,english,0.93
Fire response required for chimney fire at Kebele 06,Fire Force,english,0.92
Ambulance needed immediately for panic attack at Kebele 04,Medical/Hospital,english,0.87
Fire response required for warehouse fire at Summit,Fire Force,english,0.92
Structure fire: basement fire at Central Bank,Fire Force,english,0.98
"Critical: heart attack at Piazza, need doctor",Medical/Hospital,english,0.99
"URGENT: confined space rescue reported at CMC Condominium, send fire department",Fire Force,english,0.88
"kidnapping at the Stadium, immediate police response needed",Police,english,0.9
Help! kidnapping at the Park,Police,afaan_oromo,0.84
Structure fire: explosion at Train Station,Fire Force,english,0.95
Emergency response needed for attic fire at Piazza,Fire Force,english,0.91
"URGENT: burn injury at Adama Market, send paramedics",Medical/Hospital,english,0.92
"eye injury reported at Bus Terminal, send medical help",Medical/Hospital,english,0.85
Someone is having drowning incident at a villa,Medical/Hospital,english,0.98
Structure fire: basement fire at a dormitory,Fire Force,english,0.97
Help! kidnapping at the Fire Station,Police,english,0.91
Call firefighters: attic fire at Mexico Square,Fire Force,english,0.92
"Critical: attic fire at a local house, multiple units needed",Fire Force,english,0.87
Smoke reported: chemical fire at CMC Condominium,Fire Force,english,0.98
Person suffering from choking incident at Bus Terminal,Medical/Hospital,english,0.9
Need doctor for choking incident at the School immediately,Medical/Hospital,amharic,0.85
Security incident: assault at the University campus,Police,english,0.97
Fire emergency: industrial fire at the Office,Fire Force,english,0.99
"No emergency, just no action needed",Other,english,0.96
Emergency: rubbish fire occurring at a villa,Fire Force,english,0.85
Crime alert: car theft at the Main Factory,Police,afaan_oromo,0.81
Call firefighters: chemical fire at Bole Road,Fire Force,english,0.89
"Active fraud at a shared house, need backup",Police,english,0.92
Fire emergency: structure fire at Piazza,Fire Force,english,0.99
Flames visible: brush fire at the Restaurant,Fire Force,english,0.87
Hazardous situation: chemical fire at the School,Fire Force,english,0.91
Fire emergency: confined space rescue at a villa,Fire Force,english,0.97
Police assistance required for pickpocketing at the Office,Police,afaan_oromo,0.81
Structure fire: fuel spill at the Hospital gate,Fire Force,english,0.95
Person suffering from diabetic emergency at an Apartment building,Medical/Hospital,english,0.9
Help! respiratory distress occurring at the Roundabout,Medical/Hospital,english,0.92
"rubbish fire at an Apartment building, immediate fire response required",Fire Force,english,0.89
"Critical: confined space rescue at Kebele 08, multiple units needed",Fire Force,english,0.91
Ambulance needed immediately for drowning incident at the Main Factory,Medical/Hospital,english,0.97
Medical emergency: respiratory distress reported at Adama Market,Medical/Hospital,english,0.85
Hazardous situation: smoke investigation at the Roundabout,Fire Force,english,0.93
Call firefighters: electrical fire at a shared house,Fire Force,afaan_oromo,0.83
Need doctor for eye injury at a dormitory immediately,Medical/Hospital,english,0.85
"URGENT: kitchen fire reported at the Police Station, send fire department",Fire Force,english,0.85
Police needed immediately for trespassing at the Church,Police,english,0.89
"Active burglary at the School, need backup",Police,english,0.9
Medical emergency: hypothermia reported at the Bridge,Medical/Hospital,english,0.85
Smoke reported: chemical fire at Gerji,Fire Force,english,0.95
"Witnessed pickpocketing at the construction site, send police",Police,english,0.95
Security incident: car theft at the Restaurant,Police,english,0.9
