text,label,language,confidence_score
Emergency! Send fire truck to Mexico Square - fire in the basement.,Fire Force,,
Emergency! unconscious at Gas Station,Medical/Hospital,amharic,
Need police at Kebele 04 for burglary,Police,afaan_oromo,
Emergency! There is car theft happening at Bole Road.,Police,,
Help! something burning at Bole Road!,Fire Force,,
Police emergency! burglary at Adama Police Station,Police,amharic,
"Hello No emergency, just testing the app thanks",Other,,
"Hello, time check",Other,,
Emergency! There is a person with animal bite at CMC Condominium.,Medical/Hospital,,
Emergency! Please send paramedics to my Home: several injured people.,Medical/Hospital,,
Emergency! Someone has woman in labor at the Central Bank.,Medical/Hospital,,
Ibidda High School,Police,afaan_oromo,
"Fight with weapons, people injured at shopping mall",Police,,0.64
Emergency! Need an ambulance at Adama Market - woman in labor.,Medical/Hospital,,
Hi Checking in - good morning,Other,,
URGENT: explosion reported at a back alley.,Fire Force,,
Medical emergency at a back alley: heart attack.,Medical/Hospital,,
Emergency! There is car theft happening at the Gas Station.,Police,,
Medical emergency at Train Station: heart attack,Medical/Hospital,,0.96
Emergency! gas leak at Piazza,Fire Force,afaan_oromo,
Reporting person not breathing at the Main Road.,Medical/Hospital,,
Reporting violent fight at the Main Road.,Police,,
Police emergency! stabbing at the Bus Terminal.,Police,,
Emergency! Reporting explosion at the Train Station.,Fire Force,,
"Hello, is anyone there?",Other,,
Emergency medical assistance needed at the Central Bank for unconscious person.,Medical/Hospital,,
Emergency! Send police immediately to Summit - robbery in progress.,Police,,
Emergency! kitchen fire at Bole Road.,Fire Force,,
Emergency! There is fire in the basement happening at Adama Market.,Fire Force,,
Emergency! seizure at Main Road,Medical/Hospital,,0.77
Medical emergency at Train Station: poisoning,Medical/Hospital,,0.88
Emergency! Please send police to my Home for shooting.,Police,,
Fire emergency at an Apartment building - massive blaze,Fire Force,afaan_oromo,
"Emergency! Please send the fire force to the Hospital gate, there is warehouse fire.",Fire Force,,
Police emergency! assault at CMC Condominium,Police,,0.56
Need ambulance at Gas Station - head injury,Medical/Hospital,,0.66
URGENT police response needed: assault at Summit.,Police,,
"Hi there, thanks",Other,,
URGENT: poisoning at Gerji.,Medical/Hospital,,
አደጋ ደረሰ በMexico Square,Police,amharic,
Medical emergency! heavy bleeding at Mexico Square.,Medical/Hospital,,
Reporting gas leak at High School,Fire Force,,0.92
Emergency! Reporting riot at the main Factory.,Police,,
Reporting transformer fire at Central Bank,Fire Force,amharic,
Need ambulance at the Office - choking,Medical/Hospital,afaan_oromo,
Emergency! Please send police to the construction site for burglary.,Police,,
"Hi Hello, wrong number thanks",Other,,
Please send paramedics to the Office: head injury.,Medical/Hospital,,
Officer required at Summit: assault.,Police,,
Emergency medical assistance needed at a back alley for fainting spell.,Medical/Hospital,,
Emergency! Witnessed vandalism at Piazza.,Police,,
Help! something burning at the Train Station!,Fire Force,,
Officer required at Adama General Hospital: vandalism,Police,afaan_oromo,
Need police at Train Station for riot,Police,,0.85
Emergency! Please send police to Kebele 02 for drug dealing.,Police,,
Emergency! transformer fire at the Train Station.,Fire Force,,
Emergency! Reporting stabbing at Bole Road.,Police,,
Need firefighters at the Train Station for chemical fire.,Fire Force,,
Send police to Summit - harassment in progress,Police,afaan_oromo,
Medical emergency! unconscious person at the High School.,Medical/Hospital,,
Reporting vandalism at Piazza,Police,,0.96
Medical emergency at Sarbet: broken leg.,Medical/Hospital,,
Emergency! There is transformer fire happening at the Bus Terminal.,Fire Force,,
Hi Checking in - hi there please,Other,,
Emergency! There is something burning happening at the Gas Station.,Fire Force,,
Send fire truck to Kebele 04: brush fire,Fire Force,,0.79
Emergency! Please send police to Kebele 02 for robbery.,Police,,
There is warehouse fire happening at Mexico Square.,Fire Force,,
