text,label,language,confidence_score
"Apartment fire, people trapped inside at Atlas area",Fire Force,english,0.65
Something doesn't look right here at the marketplace,Police,english,0.61
"Maybe there's a fire, can you check? at the Office",Fire Force,english,0.5
Poolisii ariifachiisaa Kebele 04,Police,afaan_oromo,0.81
"Apartment fire, people trapped inside at the Park",Fire Force,english,0.65
"Stroke symptoms, FAST positive, need hospital at Kebele 02",Medical/Hospital,english,0.89
Riot with fires set to buildings at the construction site,Police,english,0.61
Aarii baay'ee jira Buufata Baabura,Fire Force,afaan_oromo,0.81
"Active robbery in progress, armed suspect on premises at Gerji",Police,english,0.93
Ibiddi bubba'e jira Daandii Guddaa,Fire Force,afaan_oromo,0.73
Just checking if the system works,Other,english,0.97
"Burglary in progress, suspect inside building at Bus Terminal",Police,english,0.93
"I think I see smoke, please verify at the Gas Station",Fire Force,english,0.51
"Someone might need medical attention, not sure at the Gas Station",Medical/Hospital,english,0.47
"Industrial fire with toxic smoke, evacuate area at Train Station",Fire Force,english,0.89
"Someone might need medical attention, not sure at Adama Market",Medical/Hospital,english,0.5
"Apartment fire, people trapped inside at Summit",Fire Force,english,0.65
Terrorist attack causing fire and casualties at the business district,Police,english,0.52
"Chemical facility fire, hazardous materials involved at Bus Terminal",Fire Force,english,0.96
"I smell something like smoke, not sure at Bole Road",Fire Force,english,0.63
የወንጀል ክስተት ተከስቷል በዋና መንገድ,Police,amharic,0.76
"Industrial fire with toxic smoke, evacuate area at a local house",Fire Force,english,0.91
ፖሊስ በአስቸኳይ ይላኩ በዋና መንገድ,Police,amharic,0.79
Hospitaala nan barbaada Paarkii,Medical/Hospital,afaan_oromo,0.85
Practice report for training purposes,Other,english,0.92
"Possible heart attack, but I'm not certain at the business district",Medical/Hospital,english,0.58
"Something burning maybe, please check at a residential building",Fire Force,english,0.64
"Could be a break-in, please investigate at Bus Terminal",Police,english,0.61
"Possible smoke, but I'm not certain at the Hospital gate",Fire Force,english,0.63
"Person having heart attack, need ambulance immediately at the Gas Station",Medical/Hospital,english,0.87
"Person shot, multiple injuries reported at the Stadium",Medical/Hospital,english,0.58
"Gas explosion reported, building collapse possible at the Park",Fire Force,english,0.98
"Maybe a robbery, not certain at a family home",Police,english,0.45
የወንጀል ክስተት ተከስቷል በቦሌ መንገድ,Police,amharic,0.84
Something doesn't look right here at Adama Market,Police,english,0.53
"Possible smoke, but I'm not certain at Summit",Fire Force,english,0.45
ሐኪም በአስቸኳይ ይፈለጋል በቀበሌ 02,Medical/Hospital,amharic,0.83
Not sure if it's a fire or something else at an Apartment building,Fire Force,english,0.55
የድንገተኛ ህክምና ያስፈልጋል በማዕከላዊ ባንክ,Medical/Hospital,amharic,0.74
Not sure if it's a fire or something else at Bole Road,Fire Force,english,0.42
Namni hame ta'e jira Staadiyamii,Police,afaan_oromo,0.78
Not sure but someone looks sick at a private residence,Medical/Hospital,english,0.45
የህዝብ ጸጥታ ችግር አለ በሲኤምሲ,Police,amharic,0.73
"I hear someone crying for help, maybe injured at the University campus",Medical/Hospital,english,0.68
"Sample message, disregard",Other,english,0.88
"Person shot, multiple injuries reported at a local house",Medical/Hospital,english,0.58
"Possible heart attack, but I'm not certain at Atlas area",Medical/Hospital,english,0.42
Structure fire with visible flames from multiple windows at a local house,Fire Force,english,0.95
አምቡላንስ በፍጥነት ይላኩ በሲኤምሲ,Medical/Hospital,amharic,0.81
Waan bala'aan uumame Piazza,Police,afaan_oromo,0.75
"Child choking, immediate medical intervention needed at Gerji",Medical/Hospital,english,0.94
የህክምና ድንገተኛ ሁኔታ ተከስቷል በፒያሳ,Medical/Hospital,amharic,0.85
Demonstration mode active,Other,english,0.89
"Simulation running, no action needed",Other,english,0.97
Gas main break with strong odor throughout area at the Hospital gate,Fire Force,english,0.98
"Testing the app, please ignore",Other,english,0.98
"I heard a pop, might be electrical at the city center",Fire Force,english,0.6
"Maybe someone fainted, please verify at the downtown area",Medical/Hospital,english,0.58
ቤት ውስጥ እሳት ተነስቷል በባቡር ጣቢያ,Fire Force,amharic,0.72
Riot with fires set to buildings at the local Pharmacy,Police,english,0.61
Namni hame ta'e jira Staadiyamii,Police,afaan_oromo,0.72
Car crash with fire and suspected DUI at the shopping mall,Fire Force,english,0.58
"Shots fired, active shooter situation at the business district",Police,english,0.94
Poolisii ariifachiisaa Kebele 02,Police,afaan_oromo,0.76
"Shots fired, active shooter situation at a local house",Police,english,0.95
"I think there's a medical issue, can you check? at Sarbet",Medical/Hospital,english,0.42
Protestors burning vehicles at a local house,Police,english,0.6
"Industrial fire with toxic smoke, evacuate area at my Home",Fire Force,english,0.9
"Shots fired, active shooter situation at a residential building",Police,english,0.9
"Gas explosion reported, building collapse possible at Summit",Fire Force,english,0.99
"Sample message, disregard",Other,english,0.96
Dhibee fayyaa cimaa uumame Kebele 02,Medical/Hospital,afaan_oromo,0.74
Rimeen uumame poolisii barbaada Kebele 04,Police,afaan_oromo,0.77
Not sure if it's a crime but looks wrong at the Main Factory,Police,english,0.6
"Maybe a robbery, not certain at my Home",Police,english,0.61
"I think I see smoke, please verify at Bus Terminal",Fire Force,english,0.6
Something doesn't look right here at a residential building,Police,english,0.53
Dhibee fayyaa cimaa uumame Baankii Qabxii,Medical/Hospital,afaan_oromo,0.72
"Apartment fire, people trapped inside at Atlas area",Fire Force,english,0.65
"Stroke symptoms, FAST positive, need hospital at Kazanchis",Medical/Hospital,english,0.88
አምቡላንስ በፍጥነት ይላኩ በፓርክ,Medical/Hospital,amharic,0.86
"Person having heart attack, need ambulance immediately at the Main Factory",Medical/Hospital,english,0.98
ጢስ እየወጣ ነው እሳት ሊኖር ይችላል በፒያሳ,Fire Force,amharic,0.79
Forest fire spreading rapidly toward homes at Sarbet,Fire Force,english,0.94
"Someone is acting strange, might need doctor at Mexico Square",Medical/Hospital,english,0.57
የህዝብ ጸጥታ ችግር አለ በሲኤምሲ,Police,amharic,0.78
የእሳት አደጋ ተከስቷል ፈጣን ምላሽ ያስፈልጋል በቦሌ መንገድ,Fire Force,amharic,0.8
"Riot with multiple offenders, public safety risk at Kebele 04",Police,english,0.93
ጢስ እየወጣ ነው እሳት ሊኖር ይችላል በፒያሳ,Fire Force,amharic,0.87
የህዝብ ጸጥታ ችግር አለ በዋና መንገድ,Police,amharic,0.87
ጥቃት ደርሶብኛል ፖሊስ ይምጡ በቀበሌ 02,Police,amharic,0.78
"Person having heart attack, need ambulance immediately at Mexico Square",Medical/Hospital,english,0.9
"Person having heart attack, need ambulance immediately at Kebele 02",Medical/Hospital,english,0.94
"Simulation running, no action needed",Other,english,0.98
"Gas explosion reported, building collapse possible at the Stadium",Fire Force,english,0.98
"Maybe there's a fire, can you check? at the University campus",Fire Force,english,0.49
"Someone is acting strange, might need doctor at an Apartment building",Medical/Hospital,english,0.49
Criminal barricaded in burning building at Piazza,Police,english,0.63
"Maybe there's a fire, can you check? at the shopping mall",Fire Force,english,0.54
"Stroke symptoms, FAST positive, need hospital at the Hospital gate",Medical/Hospital,english,0.97
አምቡላንስ በፍጥነት ይላኩ በማዕከላዊ ባንክ,Medical/Hospital,amharic,0.81
Poolisii ariifachiisaa Daandii Guddaa,Police,afaan_oromo,0.79
Ijaarsi ibidda jala jira Paarkii,Fire Force,afaan_oromo,0.82
አምቡላንስ በፍጥነት ይላኩ በዋና መንገድ,Medical/Hospital,amharic,0.83
"Person with allergic reaction, throat swelling, anaphylaxis at Train Station",Medical/Hospital,english,0.89
I think I see something suspicious at Bole Road,Police,english,0.44
"Major trauma with heavy bleeding, emergency transport required at the Park",Medical/Hospital,english,0.89
Not sure if it's a crime but looks wrong at the commercial district,Police,english,0.52
Not sure if it's a crime but looks wrong at the construction site,Police,english,0.5
"Gas explosion reported, building collapse possible at the commercial district",Fire Force,english,0.94
"Something burning maybe, please check at Summit",Fire Force,english,0.56
Gaasiin yaa'a jira Kebele 02,Fire Force,afaan_oromo,0.73
"Could be a break-in, please investigate at the Park",Police,english,0.65
የህክምና ድንገተኛ ሁኔታ ተከስቷል በፓርክ,Medical/Hospital,amharic,0.77
"Testing the app, please ignore",Other,english,0.98
"Something burning maybe, please check at the Park",Fire Force,english,0.58
"Fight with weapons, people are injured at the business district",Medical/Hospital,english,0.59
House fire with smoke inhalation victims at a family home,Fire Force,english,0.64
የህዝብ ጸጥታ ችግር አለ በባቡር ጣቢያ,Police,amharic,0.81
ዘራፊ ገብቷል ፖሊስ ያስፈልጋል በቀበሌ 02,Police,amharic,0.84
Demonstration mode active,Other,english,0.99
"Major trauma with heavy bleeding, emergency transport required at Bole Road",Medical/Hospital,english,0.91
Just checking if the system works,Other,english,0.97
ጢስ እየወጣ ነው እሳት ሊኖር ይችላል በፓርክ,Fire Force,amharic,0.86
Ibiddi bubba'e jira Buufata Baabura,Fire Force,afaan_oromo,0.87
"Carjacking occurring right now, suspect armed at Kebele 02",Police,english,0.89
"Burglary in progress, suspect inside building at the University campus",Police,english,0.97
Waan hatamuun uumame Bole Daandii,Police,afaan_oromo,0.86
"Violent attack, victim unconscious and bleeding at a private residence",Medical/Hospital,english,0.6
"Active robbery in progress, armed suspect on premises at the downtown area",Police,english,0.93
"Officer needs backup, suspect resisting at Piazza",Police,english,0.98
Riot with fires set to buildings at Kebele 02,Police,english,0.61
Gargaarsa fayyaa barbaada Kebele 04,Medical/Hospital,afaan_oromo,0.74
ጥቃት ደርሶብኛል ፖሊስ ይምጡ በቀበሌ 04,Police,amharic,0.78
"I think I see smoke, please verify at Adama Market",Fire Force,english,0.65
"Officer needs backup, suspect resisting at the local Pharmacy",Police,english,0.99
"Someone might need medical attention, not sure at Gerji",Medical/Hospital,english,0.55
"Severe bleeding, send paramedics right away at the shopping mall",Medical/Hospital,english,0.94
"Testing the app, please ignore",Other,english,0.92
"Officer needs backup, suspect resisting at an Apartment building",Police,english,0.89
ጢስ እየወጣ ነው እሳት ሊኖር ይችላል በማዕከላዊ ባንክ,Fire Force,amharic,0.85
Not sure if it's a fire or something else at Gerji,Fire Force,english,0.55
"Someone might need medical attention, not sure at Summit",Medical/Hospital,english,0.52
"Maybe someone fainted, please verify at Bus Terminal",Medical/Hospital,english,0.54
"Someone is acting strange, might need doctor at the Gas Station",Medical/Hospital,english,0.5
"Could be a break-in, please investigate at the Stadium",Police,english,0.57
Something doesn't look right here at the downtown area,Police,english,0.63
"Carjacking occurring right now, suspect armed at a local house",Police,english,0.95
"Shots fired, active shooter situation at the University campus",Police,english,0.95
Dhibee fayyaa cimaa uumame Buufata Baabura,Medical/Hospital,afaan_oromo,0.73
"Active seizure, patient needs emergency medical care at the downtown area",Medical/Hospital,english,0.93
Riot with fires set to buildings at CMC Condominium,Police,english,0.61
"Unconscious person not breathing, cardiac arrest at Kebele 02",Medical/Hospital,english,0.92
Not sure but better check this area at Kebele 04,Police,english,0.67
"I heard a pop, might be electrical at Mexico Square",Fire Force,english,0.48
ጥቃት ደርሶብኛል ፖሊስ ይምጡ በባቡር ጣቢያ,Police,amharic,0.72
የእሳት አደጋ ተከስቷል ፈጣን ምላሽ ያስፈልጋል በባቡር ጣቢያ,Fire Force,amharic,0.74
Criminal barricaded in burning building at the business district,Police,english,0.63
Practice report for training purposes,Other,english,0.97
የወንጀል ክስተት ተከስቷል በፒያሳ,Police,amharic,0.75
"Someone might need medical attention, not sure at the Park",Medical/Hospital,english,0.66
የህዝብ ጸጥታ ችግር አለ በአዳማ ገበያ,Police,amharic,0.75
"Child choking, immediate medical intervention needed at the city center",Medical/Hospital,english,0.9
"Unconscious person not breathing, cardiac arrest at Piazza",Medical/Hospital,english,0.88
"Child choking, immediate medical intervention needed at the commercial district",Medical/Hospital,english,0.91
Gaasiin yaa'a jira Staadiyamii,Fire Force,afaan_oromo,0.84
"Kidnapping witnessed, suspect fleeing scene at the Stadium",Police,english,0.98
Gargaarsa fayyaa barbaada Piazza,Medical/Hospital,afaan_oromo,0.77
እሳት ተነስቷል የእሳት አደጋ መከላከያ ይላኩ በቀበሌ 02,Fire Force,amharic,0.78
"Fight with weapons, people are injured at Kazanchis",Medical/Hospital,english,0.59
ቤት ውስጥ እሳት ተነስቷል በማዕከላዊ ባንክ,Fire Force,amharic,0.76
Practice report for training purposes,Other,english,0.9
"Simulation running, no action needed",Other,english,0.9
I think I see something suspicious at the Hospital gate,Police,english,0.61
"I think I see smoke, please verify at the Gas Station",Fire Force,english,0.47
"Testing the app, please ignore",Other,english,0.9
Forest fire spreading rapidly toward homes at the Main Factory,Fire Force,english,0.98
"Person having heart attack, need ambulance immediately at the commercial district",Medical/Hospital,english,0.93
አምቡላንስ በፍጥነት ይላኩ በቀበሌ 04,Medical/Hospital,amharic,0.79
"Riot with multiple offenders, public safety risk at CMC Condominium",Police,english,0.88
"Apartment fire, people trapped inside at the Office",Fire Force,english,0.65
"Active robbery in progress, armed suspect on premises at the shopping mall",Police,english,0.88
"Kidnapping witnessed, suspect fleeing scene at the city center",Police,english,0.96
"Gas leak, people are unconscious at Kazanchis",Fire Force,english,0.66
"Shots fired, active shooter situation at an Apartment building",Police,english,0.96
Car crash with fire and suspected DUI at Piazza,Fire Force,english,0.58
Gaasiin yaa'a jira Staadiyamii,Fire Force,afaan_oromo,0.8
"Major trauma with heavy bleeding, emergency transport required at the marketplace",Medical/Hospital,english,0.98
"Burglary in progress, suspect inside building at the city center",Police,english,0.9
"A stabbing occurred, victim is bleeding heavily at the Park",Medical/Hospital,english,0.62
Ibiddi bubba'e jira Staadiyamii,Fire Force,afaan_oromo,0.88
"I think there's a medical issue, can you check? at Main Road",Medical/Hospital,english,0.43
Forest fire spreading rapidly toward homes at the University campus,Fire Force,english,0.97
"Something burning maybe, please check at Gerji",Fire Force,english,0.68
"I smell something like smoke, not sure at a private residence",Fire Force,english,0.49
Not sure but better check this area at the city center,Police,english,0.43
"Person with allergic reaction, throat swelling, anaphylaxis at the Gas Station",Medical/Hospital,english,0.89
"Kidnapping witnessed, suspect fleeing scene at Train Station",Police,english,0.88
"Stroke symptoms, FAST positive, need hospital at a residential building",Medical/Hospital,english,0.95
Something doesn't look right here at the commercial district,Police,english,0.66
Arson suspect caught on fire at the business district,Police,english,0.57
"Shots fired, active shooter situation at the Hospital gate",Police,english,0.95
Manni ibidda bubba'e Kebele 04,Fire Force,afaan_oromo,0.84
"Maybe a robbery, not certain at the Hospital gate",Police,english,0.56
"Gas explosion reported, building collapse possible at the commercial district",Fire Force,english,0.98
"Person shot, multiple injuries reported at a local house",Medical/Hospital,english,0.58
Gas main break with strong odor throughout area at a local house,Fire Force,english,0.93
I think I see something suspicious at Main Road,Police,english,0.59
"I heard a pop, might be electrical at Train Station",Fire Force,english,0.55
"Industrial fire with toxic smoke, evacuate area at Atlas area",Fire Force,english,0.94
Hospitaala nan barbaada Adama Gandaa,Medical/Hospital,afaan_oromo,0.8
"Burglary in progress, suspect inside building at Bole Road",Police,english,0.88
Poolisii ariifachiisaa Bole Daandii,Police,afaan_oromo,0.86
እሳት ተነስቷል የእሳት አደጋ መከላከያ ይላኩ በአውቶቡስ ቴርሚናል,Fire Force,amharic,0.72
የህክምና ድንገተኛ ሁኔታ ተከስቷል በቦሌ መንገድ,Medical/Hospital,amharic,0.87
"I smell something like smoke, not sure at Bole Road",Fire Force,english,0.44
የወንጀል ክስተት ተከስቷል በቀበሌ 02,Police,amharic,0.85
ጋዝ እየፈሰሰ ነው አደጋ ሊከሰት ይችላል በአውቶቡስ ቴርሚናል,Fire Force,amharic,0.75
ጥቃት ደርሶብኛል ፖሊስ ይምጡ በቦሌ መንገድ,Police,amharic,0.78
Practice report for training purposes,Other,english,0.91
"Building explosion, multiple casualties at Bus Terminal",Fire Force,english,0.63
Poolisii ariifachiisaa Buufata Baabura,Police,afaan_oromo,0.82
የህዝብ ጸጥታ ችግር አለ በቦሌ መንገድ,Police,amharic,0.79
Waan bala'aan uumame Adama Gandaa,Police,afaan_oromo,0.76
Gargaarsa fayyaa barbaada Kebele 02,Medical/Hospital,afaan_oromo,0.87
ጋዝ እየፈሰሰ ነው አደጋ ሊከሰት ይችላል በስታዲየም,Fire Force,amharic,0.76
"Building explosion, multiple casualties at the Gas Station",Fire Force,english,0.63
"Major incident with fire, injuries, and crime scene at Adama Market",Fire Force,english,0.55
ጢስ እየወጣ ነው እሳት ሊኖር ይችላል በቀበሌ 02,Fire Force,amharic,0.79
Terrorist attack causing fire and casualties at Piazza,Police,english,0.52
ቤት ውስጥ እሳት ተነስቷል በማዕከላዊ ባንክ,Fire Force,amharic,0.86
"Building explosion, multiple casualties at the city center",Fire Force,english,0.63
አምቡላንስ በፍጥነት ይላኩ በቦሌ መንገድ,Medical/Hospital,amharic,0.79
"Person having heart attack, need ambulance immediately at Kebele 02",Medical/Hospital,english,0.89
"Burglary in progress, suspect inside building at Adama Market",Police,english,0.87
"I hear someone crying for help, maybe injured at the Stadium",Medical/Hospital,english,0.58
"Stroke symptoms, FAST positive, need hospital at Gerji",Medical/Hospital,english,0.94
"Apartment fire, people trapped inside at the Stadium",Fire Force,english,0.65
Waan hatamuun uumame Daandii Guddaa,Police,afaan_oromo,0.7
Gaasiin yaa'a jira Kebele 02,Fire Force,afaan_oromo,0.71
"Unconscious person not breathing, cardiac arrest at the shopping mall",Medical/Hospital,english,0.9
ዘራፊ ገብቷል ፖሊስ ያስፈልጋል በቀበሌ 04,Police,amharic,0.71
"Possible smoke, but I'm not certain at Gerji",Fire Force,english,0.64
ህመምተኛ አለ ዶክተር ያስፈልጋል በስታዲየም,Medical/Hospital,amharic,0.7
"Chemical facility fire, hazardous materials involved at Bus Terminal",Fire Force,english,0.97
Gas main break with strong odor throughout area at the construction site,Fire Force,english,0.98
Structure fire with visible flames from multiple windows at Bus Terminal,Fire Force,english,0.94
