text,label
Emergency! Send fire truck to Mexico Square - fire in the basement.,Fire Force
Emergency! unconscious at Gas Station,Medical/Hospital
Need police at Kebele 04 for burglary,Police
Emergency! There is car theft happening at Bole Road.,Police
Help! something burning at Bole Road!,Fire Force
Police emergency! burglary at Adama Police Station,Police
"Hello No emergency, just testing the app thanks",Other
"Hello, time check",Other
Emergency! There is a person with animal bite at CMC Condominium.,Medical/Hospital
Emergency! Please send paramedics to my Home: several injured people.,Medical/Hospital
Emergency! Someone has woman in labor at the Central Bank.,Medical/Hospital
Ibidda High School,Police
"Fight with weapons, people injured at shopping mall",Police
Emergency! Need an ambulance at Adama Market - woman in labor.,Medical/Hospital
Hi Checking in - good morning,Other
URGENT: explosion reported at a back alley.,Fire Force
Medical emergency at a back alley: heart attack.,Medical/Hospital
Emergency! There is car theft happening at the Gas Station.,Police
Medical emergency at Train Station: heart attack,Medical/Hospital
Emergency! gas leak at Piazza,Fire Force
Reporting person not breathing at the Main Road.,Medical/Hospital
Reporting violent fight at the Main Road.,Police
Police emergency! stabbing at the Bus Terminal.,Police
Emergency! Reporting explosion at the Train Station.,Fire Force
"Hello, is anyone there?",Other
Emergency medical assistance needed at the Central Bank for unconscious person.,Medical/Hospital
Emergency! Send police immediately to Summit - robbery in progress.,Police
Emergency! kitchen fire at Bole Road.,Fire Force
Emergency! There is fire in the basement happening at Adama Market.,Fire Force
Emergency! seizure at Main Road,Medical/Hospital
Medical emergency at Train Station: poisoning,Medical/Hospital
Emergency! Please send police to my Home for shooting.,Police
Fire emergency at an Apartment building - massive blaze,Fire Force
"Emergency! Please send the fire force to the Hospital gate, there is warehouse fire.",Fire Force
Police emergency! assault at CMC Condominium,Police
Need ambulance at Gas Station - head injury,Medical/Hospital
URGENT police response needed: assault at Summit.,Police
"Hi there, thanks",Other
URGENT: poisoning at Gerji.,Medical/Hospital
አደጋ ደረሰ በMexico Square,Police
Medical emergency! heavy bleeding at Mexico Square.,Medical/Hospital
Reporting gas leak at High School,Fire Force
Emergency! Reporting riot at the main Factory.,Police
Reporting transformer fire at Central Bank,Fire Force
Need ambulance at the Office - choking,Medical/Hospital
Emergency! Please send police to the construction site for burglary.,Police
"Hi Hello, wrong number thanks",Other
Please send paramedics to the Office: head injury.,Medical/Hospital
Officer required at Summit: assault.,Police
Emergency medical assistance needed at a back alley for fainting spell.,Medical/Hospital
Emergency! Witnessed vandalism at Piazza.,Police
Help! something burning at the Train Station!,Fire Force
Officer required at Adama General Hospital: vandalism,Police
Need police at Train Station for riot,Police
Emergency! Please send police to Kebele 02 for drug dealing.,Police
Emergency! transformer fire at the Train Station.,Fire Force
Emergency! Reporting stabbing at Bole Road.,Police
Need firefighters at the Train Station for chemical fire.,Fire Force
Send police to Summit - harassment in progress,Police
Medical emergency! unconscious person at the High School.,Medical/Hospital
Reporting vandalism at Piazza,Police
Medical emergency at Sarbet: broken leg.,Medical/Hospital
Emergency! There is transformer fire happening at the Bus Terminal.,Fire Force
Hi Checking in - hi there please,Other
Emergency! There is something burning happening at the Gas Station.,Fire Force
Send fire truck to Kebele 04: brush fire,Fire Force
Emergency! Please send police to Kebele 02 for robbery.,Police
There is warehouse fire happening at Mexico Square.,Fire Force
URGENT police response needed: kidnapping attempt at Bole Road.,Police
Send fire truck to Bus Terminal: kitchen fire,Fire Force
Medical emergency at Adama Market: fainting,Medical/Hospital
Emergency! There is gas leak happening at the Central Bank.,Fire Force
Emergency! Reporting inferno at Piazza.,Fire Force
Emergency! Need police at Sarbet - group with weapons.,Police
"Hello No emergency, just hi there",Other
Police emergency! stolen goods at Kazanchis,Police
Officer required at Main Road: robbery,Police
Person with head injury at Mexico Square,Medical/Hospital
Need firefighters at High School for thick smoke,Fire Force
Reporting person who fell at the Hospital gate.,Medical/Hospital
Fire emergency at Piazza - transformer fire,Fire Force
Car accident with fire at University campus,Fire Force
Reporting burning smell at construction site,Fire Force
Car accident with fire at the Office,Fire Force
Person with overdose at Sarbet,Medical/Hospital
Ibidda Gerji,Police
Help! transformer fire at the Hospital gate!,Fire Force
Person with car accident with injuries at CMC Condominium,Medical/Hospital
Emergency! Witnessed armed suspect at an Apartment building.,Police
Just is anyone there,Other
Please send paramedics to Adama Market: overdose,Medical/Hospital
Emergency! gas leak at Adama Police Station,Fire Force
Send police immediately to Piazza - armed suspect in progress.,Police
Person with allergic reaction at Adama General Hospital,Medical/Hospital
Send police to Atlas area - violent fight in progress,Police
Need police at Main Road for car theft,Police
Hi Just is anyone there please,Other
"Hey No emergency, just thank you please",Other
Emergency! Reporting robbery at Kazanchis.,Police
Emergency medical assistance needed at Kazanchis for poisoning.,Medical/Hospital
"Please send the fire force to the shopping mall, there is inferno.",Fire Force
Police emergency! stabbing at an Apartment building,Police
Hello Checking in - hello please,Other
Please send police to Kebele 04 for car theft.,Police
Emergency! Need an ambulance at the Bus Terminal - collapsed person.,Medical/Hospital
Emergency! There is a person with unconscious person at Adama Market.,Medical/Hospital
Reporting burglary at Summit,Police
Medical emergency at University campus: burn victim,Medical/Hospital
Emergency! There is a person with heavy bleeding at Bole Road.,Medical/Hospital
Emergency! There is a person with broken leg at the Office.,Medical/Hospital
Emergency! Please send police to Adama Market for violent fight.,Police
Emergency! Reporting stabbing at the Train Station.,Police
Emergency! Need police at Adama Market - kidnapping attempt.,Police
"Hi No emergency, just time check",Other
Police emergency! shooting at High School,Police
Emergency! Please send police to the Gas Station for group with weapons.,Police
Officer required at Central Bank: suspicious person,Police
"No emergency, just is anyone there",Other
Hafuura baafachuu dadhabe Gas Station,Fire Force
Need police at the University campus - armed suspect.,Police
"Emergency! Please send the fire force to the Central Bank, there is thick smoke.",Fire Force
Medical emergency at Kazanchis: car accident with injuries,Medical/Hospital
Send police to Atlas area - riot in progress,Police
Hi Checking in - time check thanks,Other
Emergency! Witnessed mugging at the main Factory.,Police
"Hi hello world, thanks thanks",Other
Need police at Kazanchis for stolen goods,Police
URGENT: brush fire reported at Bole Road.,Fire Force
"Emergency! Please send the fire force to Kazanchis, there is something burning.",Fire Force
Checking in - hello world,Other
Reporting poisoning at CMC Condominium.,Medical/Hospital
Emergency! fire on the balcony at the Park.,Fire Force
Emergency! flames spreading at the High School.,Fire Force
Send police to Adama Market - stabbing in progress,Police
Please send paramedics to Kebele 04: animal bite,Medical/Hospital
Need firefighters at Main Road for huge flames,Fire Force
Reporting robbery at Main Road,Police
Send fire truck to Kebele 02: warehouse fire,Fire Force
"Hello Hello, good morning",Other
URGENT: car accident with injuries at Summit.,Medical/Hospital
Emergency! Please send police to Sarbet for kidnapping attempt.,Police
Officer required at Kebele 04: armed suspect,Police
